region_id,polymer_id,value_percent,value_tonnes,year,source
OCN,LLDPE,0.3,150628.078,2019,OECD (2022)
OCN,MC,0.3,1372.686,2019,OECD (2022)
OCN,OTH ,0.6,351615.617,2019,OECD (2022)
OCN,PET,0.3,74317.548,2019,OECD (2022)
OCN,PP,0.4,257525.307,2019,OECD (2022)
OCN,PS,0.3,51106.713,2019,OECD (2022)
OCN,PUR,0.5,60590.204,2019,OECD (2022)
OCN,PVC,0.6,117670.863,2019,OECD (2022)
OCN,RMC,0.3,1584.772,2019,OECD (2022)
OCN,TOTAL,0.5,1892814.978,2019,OECD (2022)
SSAFR,ABASAN,4.8,352507.699,2019,OECD (2022)
SSAFR,BIO,5.1,108049.786,2019,OECD (2022)
SSAFR,ELAST,0.0,9.97E+01,2019,OECD (2022)
SSAFR,FIB,3.3,1731928.111,2019,OECD (2022)
SSAFR,HDPE,4.9,2187569.256,2019,OECD (2022)
SSAFR,LLDPE,5.5,2691000,2019,OECD (2022)
SSAFR,MC,7.4,35720.249,2019,OECD (2022)
SSAFR,OTH ,4.4,2524088.148,2019,OECD (2022)
SSAFR,PET,5.3,1325169.219,2019,OECD (2022)
SSAFR,PP,5.2,3221469.216,2019,OECD (2022)
SSAFR,PS,5.2,787083.554,2019,OECD (2022)
SSAFR,PUR,4.3,486427.377,2019,OECD (2022)
SSAFR,PVC,3.6,765145.638,2019,OECD (2022)
SSAFR,RMC,5.7,32787.498,2019,OECD (2022)
SSAFR,TOTAL,4.6,16249045.49,2019,OECD (2022)
USA,ABASAN,21.5,1561984.513,2019,OECD (2022)
USA,BIO,20.6,432935.184,2019,OECD (2022)
USA,ELAST,27.3,1389308.414,2019,OECD (2022)
USA,FIB,21.1,10907569.72,2019,OECD (2022)
USA,HDPE,18.9,8470944.159,2019,OECD (2022)
USA,LLDPE,19.9,9791141.232,2019,OECD (2022)
USA,MC,21.9,105685.317,2019,OECD (2022)
USA,OTH ,22.3,12845192.16,2019,OECD (2022)
USA,PET,18.7,4647817.269,2019,OECD (2022)
USA,PP,19.8,12298437.49,2019,OECD (2022)
USA,PS,20.7,3138873.698,2019,OECD (2022)
USA,PUR,22.3,2530265.073,2019,OECD (2022)
USA,PVC,21.8,4623646.863,2019,OECD (2022)
USA,RMC,16.8,97256.629,2019,OECD (2022)
USA,TOTAL,20.6,72841057.72,2019,OECD (2022)
WRL,ABASAN,100,7279787,2019,OECD (2022)
WRL,BIO,100,2101549.2,2019,OECD (2022)
WRL,ELAST,100,5086058,2019,OECD (2022)
WRL,FIB,100,51758164,2019,OECD (2022)
WRL,HDPE,100,44711176,2019,OECD (2022)
WRL,LLDPE,100,49211504,2019,OECD (2022)
WRL,MC,100,483028.3,2019,OECD (2022)
WRL,OTH ,100,57560130,2019,OECD (2022)
WRL,PET,100,24813516,2019,OECD (2022)
WRL,PP,100,61996104,2019,OECD (2022)
WRL,PS,100,15166249,2019,OECD (2022)
WRL,PUR,100,11339930,2019,OECD (2022)
WRL,PVC,100,21204348,2019,OECD (2022)
WRL,RMC,100,579552.2,2019,OECD (2022)
WRL,TOTAL,100,353291100,2019,OECD (2022)
